proposed_use,existing_construction_type,status_date,proposed_units,proposed_construction_type,permit_number,description,revised_cost,street_name,supervisor_district,street_suffix,lot,filed_date,plansets,block,number_of_existing_stories,number_of_proposed_stories,neighborhoods_analysis_boundaries,permit_type_definition,permit_type,permit_creation_date,zipcode,record_id,proposed_construction_type_description,estimated_cost,street_number,existing_use,existing_units,location,status,existing_construction_type_description
apartments,1,2021-06-25T00:00:00.000,67,1,202106253206,1 complete kitchen remodel like for like. 1 complete bathroom remodel like for like. no layout or wall changes.,25000,Folsom,6,St,066,2021-06-25T00:00:00.000,0,3744,18,18,Financial District/South Beach,otc alterations permit,8,2021-06-25T00:00:00.000,94105,1619594165765,constr type 1,25000,75,apartments,67,"{coordinates:[-122.3897573227413,37.78980325322287],type:Point}",issued,constr type 1
office,1,2021-06-25T00:00:00.000,,1,202106253218,floor 14/b: additions of 2 speaker/strobes for the restroom on floor 14b. ref pa202103015598. maher n/a.,1270,Market,6,St,007,2021-06-25T00:00:00.000,2,3713,27,27,Financial District/South Beach,otc alterations permit,8,2021-06-25T00:00:00.000,94105,1619609164605,constr type 1,1270,1,office,,"{coordinates:[-122.39420507489159,37.79335721959559],type:Point}",issued,constr type 1
2 family dwelling,5,2021-06-25T00:00:00.000,2,5,202106253228,remove and replace decking. repair framing. replace railings. repair dryrot,0,Malta,7,Dr,019,2021-06-25T00:00:00.000,2,3034,3,3,West of Twin Peaks,otc alterations permit,8,2021-06-25T00:00:00.000,94131,1619621496261,wood frame (5),10000,84,2 family dwelling,2,"{coordinates:[-122.44411994593045,37.736196956966964],type:Point}",filed,wood frame (5)
1 family dwelling,5,2021-06-25T00:00:00.000,1,5,202106253217,install new fire sprinkler system throughout building per nfpa 13 including 2" dedicated underground fire sprinkler service per nfpa 24. total sprinklers 64. ref pa 2021-0528-1309,34944,Sanchez,8,St,033,2021-06-25T00:00:00.000,2,3627,4,4,Noe Valley,otc alterations permit,8,2021-06-25T00:00:00.000,94114,1619608163045,wood frame (5),34944,939,1 family dwelling,1,"{coordinates:[-122.42954295351845,37.75410267710902],type:Point}",issued,wood frame (5)
apartments,5,2021-06-25T00:00:00.000,3,5,202106253226,"repair fire damaged area, repaint damaged walls, install new kitchen cabinets, change plumbing from galvanized to copper, bring electrical/plumbing up to code.  work @ (3) units, (1) kitchen remodel",34000,Leavenworth,3,St,014,2021-06-25T00:00:00.000,0,0252,3,3,Nob Hill,otc alterations permit,8,2021-06-25T00:00:00.000,94109,1619618283633,wood frame (5),34000,1024,apartments,3,"{coordinates:[-122.41537655966852,37.790644221708945],type:Point}",issued,wood frame (5)
apartments,5,2021-06-25T00:00:00.000,16,5,202106253262,"like for like  fire system replacement with upgrade of radio to monitor and low frequency sounders in each sleeping room, sounders will be swift wireless, smokedetectors, pull station and common nac will be wired.  to comply w/sffc sec.1103.7.6.1",24005,Burnett,8,Av,048,2021-06-25T00:00:00.000,2,2799,4,4,Twin Peaks,otc alterations permit,8,2021-06-25T00:00:00.000,94131,1619656246147,wood frame (5),24005,545,apartments,16,"{coordinates:[-122.44445247524601,37.752469774257406],type:Point}",issued,wood frame (5)
1 family dwelling,5,2021-07-01T00:00:00.000,1,5,202106253278,interior remodel: 1st fl  adding new bathroom & relocate (e) bathroom; 2nd fl - remodel (e) kitchen and add new bathroom and remodel (e) bathroom.,146000,Gaven,9,St,005,2021-06-25T00:00:00.000,2,5853,2,2,Portola,otc alterations permit,8,2021-06-25T00:00:00.000,94134,1619672189343,wood frame (5),46000,154,1 family dwelling,1,"{coordinates:[-122.4088476777813,37.73350319796482],type:Point}",issued,wood frame (5)
health studios & gym,1,2021-06-25T00:00:00.000,0,1,202106253250,"add 1 pull, 1 control relay, 6 high current relays, 9 duct smokes, 12 horn storbes 5 strobes and 3 monitor modules.",16000,Golden Gate,1,Av,003,2021-06-25T00:00:00.000,2,1145,3,3,Lone Mountain/USF,otc alterations permit,8,2021-06-25T00:00:00.000,94117,1619643471969,constr type 1,16000,2335,health studios & gym,0,"{coordinates:[-122.4508612464908,37.77636475924385],type:Point}",issued,constr type 1
retail sales,5,2021-06-25T00:00:00.000,,5,202106253257,"t.i.:new partitions, finishes, lighting, plumbing. selected replacement of storefront windows. new interior wall opening to connect 2 retail spaces and partial lowering of floor at 525 hayes. no increase of area, (e) accessible restroom to remain.powered door operator. proposed per sfbc da-04.",0,Hayes,5,St,031,2021-06-25T00:00:00.000,2,0818,1,1,Hayes Valley,otc alterations permit,8,2021-06-25T00:00:00.000,94102,1619650378716,wood frame (5),240000,519,health studios & gym,,"{coordinates:[-122.42500456695696,37.77643541141925],type:Point}",filed,wood frame (5)
apartments,1,2021-06-25T00:00:00.000,150,1,202106253187,"unit 109 - 1 kitchen remodel; 1 guest bath, 1 master bath remodel; flooring installation; painting; update the electrical sub panel. non structural",70000,Cleary,5,Ct,009,2021-06-25T00:00:00.000,0,0712,15,15,Western Addition,otc alterations permit,8,2021-06-25T00:00:00.000,94109,161957580016,constr type 1,70000,66,apartments,150,"{coordinates:[-122.42676663532956,37.784480872495465],type:Point}",issued,constr type 1
2 family dwelling,5,2021-06-25T00:00:00.000,1,5,202106253188,reroofing,11700,18th,8,St,029,2021-06-25T00:00:00.000,0,2691,2,2,Castro/Upper Market,otc alterations permit,8,2021-06-25T00:00:00.000,94114,1619576141849,wood frame (5),11700,4587,2 family dwelling,1,"{coordinates:[-122.4412706925409,37.76028106710666],type:Point}",issued,wood frame (5)
2 family dwelling,5,2021-06-25T00:00:00.000,2,5,202106253251,"interior remodel, not visible from the street. remodel kitchen, remove window and relocate window/ shift it. add powder room. remodel (e) bathroom in kind.",70000,California,2,St,030,2021-06-25T00:00:00.000,2,1018,2,2,Presidio Heights,otc alterations permit,8,2021-06-25T00:00:00.000,94118,1619644254322,wood frame (5),70000,3532,2 family dwelling,2,"{coordinates:[-122.45240643974553,37.78684657852362],type:Point}",issued,wood frame (5)
apartments,,2021-06-25T00:00:00.000,194,1,202106253244,reference to pa #202011209352 - to add pendent fire sprinklers to accommodate new t.i. changes (44 total),6600,18th,9,St,027,2021-06-25T00:00:00.000,2,4022,,6,Mission,otc alterations permit,8,2021-06-25T00:00:00.000,94110,1619635516101,constr type 1,6600,2875,vacant lot,,"{coordinates:[-122.41056424310824,37.76132388644152],type:Point}",issued,
retail sales,5,2021-06-25T00:00:00.000,,5,202106253257,"t.i.:new partitions, finishes, lighting, plumbing. selected replacement of storefront windows. new interior wall opening to connect 2 retail spaces and partial lowering of floor at 525 hayes. no increase of area, (e) accessible restroom to remain.powered door operator. proposed per sfbc da-04.",0,Hayes,5,St,031,2021-06-25T00:00:00.000,2,0818,1,1,Hayes Valley,otc alterations permit,8,2021-06-25T00:00:00.000,94102,161965182158,wood frame (5),240000,525,health studios & gym,,"{coordinates:[-122.42500456695696,37.77643541141925],type:Point}",filed,wood frame (5)
1 family dwelling,5,2021-06-25T00:00:00.000,1,5,202106253184,replace 10 windows. 7 windows front and top floor rear to marvin wood-alum clad casements and awnings. 2 left side and 1 rear bottom flr not visible from the street to vinyl frames in (e) openings.,25000,Sunview,8,Dr,010,2021-06-25T00:00:00.000,0,2853,2,2,Twin Peaks,otc alterations permit,8,2021-06-25T00:00:00.000,94131,1619571145887,wood frame (5),25000,90,1 family dwelling,1,"{coordinates:[-122.44535999260185,37.747155200927374],type:Point}",issued,wood frame (5)
apartments,5,2021-06-25T00:00:00.000,6,5,202106253224,replace 4 front alumimum windows in kind. (facing the street),2500,Diamond,8,St,011,2021-06-25T00:00:00.000,0,2649,2,2,Castro/Upper Market,otc alterations permit,8,2021-06-25T00:00:00.000,94114,1619615398124,wood frame (5),2500,68,apartments,6,"{coordinates:[-122.43756661882033,37.76126488864263],type:Point}",issued,wood frame (5)
apartments,5,2021-06-25T00:00:00.000,11,5,202106253219,unit #5: rehabilitate one (e) kitchen and one (e) bathroom. non-structural work,30000,Hyde,6,St,002,2021-06-25T00:00:00.000,0,0335,4,4,Tenderloin,otc alterations permit,8,2021-06-25T00:00:00.000,94109,161961069880,wood frame (5),30000,333,apartments,11,"{coordinates:[-122.4162747828521,37.78391194001178],type:Point}",issued,wood frame (5)
1 family dwelling,5,2021-06-29T00:00:00.000,1,5,202106253260,"2/f: convert (e) closet into full bathroom (shower, lav,sink, toilet). bathroom addition in (e) space.",21000,39th,1,Av,002,2021-06-25T00:00:00.000,2,1605,2,2,Outer Richmond,otc alterations permit,8,2021-06-25T00:00:00.000,94121,1619654106401,wood frame (5),21000,745,1 family dwelling,1,"{coordinates:[-122.49971688965077,37.77469547520404],type:Point}",issued,wood frame (5)
1 family dwelling,5,2021-06-25T00:00:00.000,1,5,202106253192,"back landing dryrot repair, less than 50%",4000,Miguel,8,St,003,2021-06-25T00:00:00.000,0,6695,2,2,Glen Park,otc alterations permit,8,2021-06-25T00:00:00.000,94131,1619580210846,wood frame (5),4000,212,1 family dwelling,1,"{coordinates:[-122.42825935911884,37.7374250562565],type:Point}",issued,wood frame (5)
,5,2021-06-25T00:00:00.000,,,202106253261,install 1 electric double faced wall sign "milk tea lab",800,Irving,5,St,042,2021-06-25T00:00:00.000,2,1764,1,,Inner Sunset,sign - erect,4,2021-06-25T00:00:00.000,94122,1619655502964,,800,839,food/beverage hndlng,0,"{coordinates:[-122.46708743291862,37.763847388721224],type:Point}",issued,wood frame (5)
school,5,2021-06-25T00:00:00.000,0,5,202106253255,"remodel extg interior space of 175 scotia ave. to a new t.i. childcare center, which includes infant, toddlers, and preschool classrooms, as well as administration areas. new doors and windows on the exteriors, many are to be replaced inkind.",0,Scotia,10,Av,008,2021-06-25T00:00:00.000,2,5353A,0,1,Bayview Hunters Point,otc alterations permit,8,2021-06-25T00:00:00.000,94124,1619648180335,wood frame (5),1000000,175,church,0,"{coordinates:[-122.39946715792453,37.732096667469634],type:Point}",filed,wood frame (5)
2 family dwelling,5,2021-06-25T00:00:00.000,2,5,202106253272,in-kind remodeling of 1 kitchen(s) in 2nd fl and in-kind remodeling of 1 bathroom(s) in 2nd fl with 1 shower pan(s).,26000,14th,7,Av,029,2021-06-25T00:00:00.000,0,2412,3,3,West of Twin Peaks,otc alterations permit,8,2021-06-25T00:00:00.000,94116,1619666135005,wood frame (5),26000,2440,2 family dwelling,2,"{coordinates:[-122.46985319134758,37.742533826511824],type:Point}",issued,wood frame (5)
office,1,2021-06-25T00:00:00.000,,1,202106253267,"suite 3500: demo of partitions, power, flooring, millwork, lighting and finishes. construction of limited partitions, power, lighitng, finishes and millwork. all lighting to be replaced with new in (e) location to accomodate t24. mep, fire/life safety is defered. maher n/a.",0,Montgomery,3,St,012,2021-06-25T00:00:00.000,2,0291,43,43,Financial District/South Beach,otc alterations permit,8,2021-06-25T00:00:00.000,94104,161966167101,constr type 1,261356,44,office,,"{coordinates:[-122.40178498367037,37.789777998885135],type:Point}",filed,constr type 1
1 family dwelling,5,2021-06-25T00:00:00.000,1,5,202106253238,"construct 2 bedroom, 1 full bath, 1 office & family room including in-fill under (e) sun room at ground floor. remodel (e) kitchen, bathroom, add oone full bath & replace (e) sheet roc w/ new at 2nd floor.",0,Amazon,11,Av,011,2021-06-25T00:00:00.000,2,6354,2,2,Excelsior,otc alterations permit,8,2021-06-25T00:00:00.000,94112,1619632201765,wood frame (5),136000,721,1 family dwelling,1,"{coordinates:[-122.4339692280816,37.71510073472798],type:Point}",filed,wood frame (5)
1 family dwelling,5,2021-06-25T00:00:00.000,1,5,202106253265,remodel 1st fl and rebuild existing brick foundation to concrete footing,20000,26th,8,St,018,2021-06-25T00:00:00.000,2,6553,2,2,Noe Valley,otc alterations permit,8,2021-06-25T00:00:00.000,94131,1619659207314,wood frame (5),20000,4076,1 family dwelling,1,"{coordinates:[-122.43102881586447,37.74850488629153],type:Point}",issued,wood frame (5)
apartments,2,2021-06-25T00:00:00.000,101,2,202106253208,unit 308w: 1 kitchen remodel like for like. no layout change. 1 bathroom remodel like for like rewire and sub panel (same location),35000,Buena Vista East,8,Av,150,2021-06-25T00:00:00.000,0,2607,7,7,Castro/Upper Market,otc alterations permit,8,2021-06-25T00:00:00.000,94117,1619597138985,constr type 2,35000,355,apartments,101,"{coordinates:[-122.43978614921991,37.7673049451558],type:Point}",issued,constr type 2
apartments,5,2021-06-25T00:00:00.000,3,5,202106253215,"replace 67 windows with same style and materials that were originally planned, approved & consdtructed for this building. original hardware & casement windows was not stainless steel cestal hardware & rusted  & wdw need to be replaced. original vinyl windows to be replace with same kind.",120000,Noriega,4,St,057,2021-06-25T00:00:00.000,0,2004,4,4,Sunset/Parkside,otc alterations permit,8,2021-06-25T00:00:00.000,94122,1619604475519,wood frame (5),120000,3888,apartments,3,"{coordinates:[-122.50524270506335,37.75319444685489],type:Point}",issued,wood frame (5)
1 family dwelling,5,2021-06-25T00:00:00.000,1,5,202106253198,"exploratory work to determine pipes walls, stud sizes, etc in the house replace sheetrock in kind.",2000,39th,4,Av,002B,2021-06-25T00:00:00.000,0,1711,3,3,Sunset/Parkside,otc alterations permit,8,2021-06-25T00:00:00.000,94122,1619586111113,wood frame (5),2000,1211,1 family dwelling,1,"{coordinates:[-122.49893062798542,37.76418779584658],type:Point}",issued,wood frame (5)
office,3,2021-06-25T00:00:00.000,0,3,202106253246,mep/ t24 for addition of non structural interior office spaces and restroom. ref pa 202106021457,0,Boardman,6,Pl,072,2021-06-25T00:00:00.000,2,3779,2,2,South of Market,otc alterations permit,8,2021-06-25T00:00:00.000,94103,1619639514048,constr type 3,10000,8,office,0,"{coordinates:[-122.40355397868288,37.77492224567271],type:Point}",filed,constr type 3
1 family dwelling,5,2021-06-25T00:00:00.000,1,5,202106253264,g/f: structural upgrade. replace entire ground floor.,110000,Elizabeth,8,St,022,2021-06-25T00:00:00.000,2,2805,3,3,Noe Valley,otc alterations permit,8,2021-06-25T00:00:00.000,94114,1619658144709,wood frame (5),110000,772,1 family dwelling,1,"{coordinates:[-122.43799440622357,37.75210717790671],type:Point}",issued,wood frame (5)
manufacturing,5,2021-06-25T00:00:00.000,,5,202106253270,change out faulty central inverter with 3-string inverters and a 112.4kva transformer in its place. ref e/p e20201026067,0,Palou,10,Av,001,2021-06-25T00:00:00.000,2,5585,1,1,Bayview Hunters Point,otc alterations permit,8,2021-06-25T00:00:00.000,94124,1619664184478,wood frame (5),10000,2225,manufacturing,,"{coordinates:[-122.40309235983665,37.740867234435456],type:Point}",filed,wood frame (5)
1 family dwelling,5,2021-06-25T00:00:00.000,1,5,202106253249,"infill central light court; interior stair alteration, reconfigure kitchen; add 2 new bathroom @ ground floor. convert 164 sf storage to living space; add 1 skylight",0,27th,4,Av,002,2021-06-25T00:00:00.000,2,1916,2,2,Sunset/Parkside,otc alterations permit,8,2021-06-25T00:00:00.000,94122,1619641120264,wood frame (5),84000,1619,1 family dwelling,1,"{coordinates:[-122.48560592335437,37.75716381310595],type:Point}",filed,wood frame (5)
retail sales,3,2021-06-25T00:00:00.000,0,3,202106253231,exterior projecting electric sign. apothecary,0,Howard,6,St,596,2021-06-25T00:00:00.000,2,3736,5,5,Financial District/South Beach,otc alterations permit,8,2021-06-25T00:00:00.000,94105,1619622516179,constr type 3,15000,527,retail sales,0,"{coordinates:[-122.3965118066193,37.787819549172596],type:Point}",filed,constr type 3
apartments,5,2021-06-25T00:00:00.000,5,5,202106253235,"4th fl: reconfigure floor plan to create living, dining and kitchen & 2 full bathrooms. 3th fl: reconfigure floor plan to create living, dining and kitchen & 2 full bathrooms.",527000,Sacramento,2,St,019,2021-06-25T00:00:00.000,2,0637,4,4,Pacific Heights,otc alterations permit,8,2021-06-25T00:00:00.000,94115,161962777193,wood frame (5),150000,2315,apartments,5,"{coordinates:[-122.43133065332788,37.789896830243315],type:Point}",filed,wood frame (5)
2 family dwelling,5,2021-06-25T00:00:00.000,2,5,202106253280,reroofing.,17000,Green,2,St,024,2021-06-25T00:00:00.000,0,0558,2,2,Marina,otc alterations permit,8,2021-06-25T00:00:00.000,94123,1619675303718,wood frame (5),17000,2283,2 family dwelling,2,"{coordinates:[-122.43645042395752,37.79579816159753],type:Point}",issued,wood frame (5)
2 family dwelling,5,2021-06-25T00:00:00.000,2,5,202106253236,(n) bathroom and (n) kitchen remodel on lower level including (n) laundry closet and modification to (e) stairwell from lower unit to garage area. also (n) entertainment area with (n) closets ie (e) master bedroom. (e) storage room @ garage area to be enlarged. no scope of work at upper unit level,100000,Franklin,2,St,058,2021-06-25T00:00:00.000,2,0552,2,2,Marina,otc alterations permit,8,2021-06-25T00:00:00.000,94123,1619637471179,wood frame (5),90000,2453,2 family dwelling,2,"{coordinates:[-122.42569946990156,37.79715433478424],type:Point}",filed,wood frame (5)
1 family dwelling,5,2021-06-25T00:00:00.000,1,5,202106253210,"kitchen remodel: new floors, new cabinets, move sink location",14000,Rhode Island,10,St,008,2021-06-25T00:00:00.000,0,4073,2,2,Potrero Hill,otc alterations permit,8,2021-06-25T00:00:00.000,94107,1619599169661,wood frame (5),14000,760,1 family dwelling,1,"{coordinates:[-122.40244006316861,37.76015337981879],type:Point}",issued,wood frame (5)
apartments,5,2021-06-25T00:00:00.000,4,5,202106253237,"unit #3: remodel (e) kitchen, replace counter, cabinets. construct new bathroom. install washer/dryer. all work 2nd floor.",30000,Virgil,9,St,011A,2021-06-25T00:00:00.000,2,6526,3,3,Mission,otc alterations permit,8,2021-06-25T00:00:00.000,94110,1619629206251,wood frame (5),,87,apartments,4,"{coordinates:[-122.41530517137814,37.749512520079875],type:Point}",filed,wood frame (5)
1 family dwelling,5,2021-06-25T00:00:00.000,1,5,202106253268,replace corroded beam and stud. replace non-bearing beam 6x10 in kind. replace header beam in kind.,15000,Garfield,11,St,046,2021-06-25T00:00:00.000,2,7006,2,2,Oceanview/Merced/Ingleside,otc alterations permit,8,2021-06-25T00:00:00.000,94132,1619662217300,wood frame (5),15000,419,1 family dwelling,1,"{coordinates:[-122.46666236272114,37.71947149041051],type:Point}",filed,wood frame (5)
2 family dwelling,5,2021-06-25T00:00:00.000,2,5,202106253239,units 212 & 214: minor dry rot repairs at front (approx 50sf) & rear. minor stucco and trim repair & replacement. all work in-kind.,2500,26th,1,Av,031,2021-06-25T00:00:00.000,0,1385,4,4,Outer Richmond,otc alterations permit,8,2021-06-25T00:00:00.000,94121,161963097870,wood frame (5),2500,212,2 family dwelling,2,"{coordinates:[-122.48596597774872,37.78536498999097],type:Point}",issued,wood frame (5)
1 family dwelling,5,2021-06-25T00:00:00.000,1,5,202106253241,home owner permit to repair in kind deckless than 50%,6000,Yale,9,St,010,2021-06-25T00:00:00.000,0,6062,2,2,Portola,otc alterations permit,8,2021-06-25T00:00:00.000,94134,1619633195115,wood frame (5),6000,500,1 family dwelling,1,"{coordinates:[-122.41608729749203,37.72291899903861],type:Point}",issued,wood frame (5)
office,1,2021-06-28T00:00:00.000,,1,202106253216,floor 12/b: additions of 2 speaker/strobes for the restroom on floor 12b. ref pa202102265507. maher n/a.,1270,Market,6,St,007,2021-06-25T00:00:00.000,2,3713,27,27,Financial District/South Beach,otc alterations permit,8,2021-06-25T00:00:00.000,94105,1619607164605,constr type 1,1270,1,office,,"{coordinates:[-122.39420507489159,37.79335721959559],type:Point}",issued,constr type 1
apartments,5,2021-06-25T00:00:00.000,3,5,202106253226,"repair fire damaged area, repaint damaged walls, install new kitchen cabinets, change plumbing from galvanized to copper, bring electrical/plumbing up to code.  work @ (3) units, (1) kitchen remodel",34000,Leavenworth,3,St,014,2021-06-25T00:00:00.000,0,0252,3,3,Nob Hill,otc alterations permit,8,2021-06-25T00:00:00.000,94109,1619617233296,wood frame (5),34000,1020,apartments,3,"{coordinates:[-122.41537655966852,37.790644221708945],type:Point}",issued,wood frame (5)
1 family dwelling,5,2021-06-25T00:00:00.000,1,5,202106253225,deck work less than 50%. repair dryrot floor (of the deck).,8000,Peralta,9,Av,035,2021-06-25T00:00:00.000,0,5550,2,2,Bernal Heights,otc alterations permit,8,2021-06-25T00:00:00.000,94110,1619616184201,wood frame (5),8000,568,1 family dwelling,1,"{coordinates:[-122.4087983517761,37.743546402462194],type:Point}",issued,wood frame (5)
office,1,2021-06-25T00:00:00.000,0,1,202106253245,"8th floor full floor single tenant improvement including new partitions, lighting, and millwork. no structural work. no change of use. deferred mep.",2793670,California,3,St,027,2021-06-25T00:00:00.000,2,0259,52,52,Financial District/South Beach,otc alterations permit,8,2021-06-25T00:00:00.000,94104,1619638508546,constr type 1,2793670,555,office,0,"{coordinates:[-122.4034859548936,37.79226164705224],type:Point}",filed,constr type 1
apartments,5,2021-06-25T00:00:00.000,3,5,202106253202,"one kitchen remodel - remove (e) cabinets, countertops, appliances, light fixtures, plumbing fixtures, flooring, and baseboards from the kitchen area. upgrade cabinets, floors, and fixtures. add new recessed lights on ceiling upgrade electrical subpanel in the garage to add more circuits",27000,Dolores,8,St,156,2021-06-25T00:00:00.000,0,3578,3,3,Mission,otc alterations permit,8,2021-06-25T00:00:00.000,94110,1619589503603,wood frame (5),27000,447,apartments,3,"{coordinates:[-122.42580929052542,37.76238420175359],type:Point}",issued,wood frame (5)
1 family dwelling,5,2021-07-01T00:00:00.000,1,5,202106253258,"rev to pa202002255325: add new bathroom, new finish to wall & ceiling. new light fixtures and outlets; repair dry-rot at rear wall, garage and rear exterior wall.",70000,Baden,7,St,003,2021-06-25T00:00:00.000,2,6775,1,1,West of Twin Peaks,otc alterations permit,8,2021-06-25T00:00:00.000,94131,1619652212855,wood frame (5),70000,12,1 family dwelling,1,"{coordinates:[-122.43954624339395,37.73058912525763],type:Point}",issued,wood frame (5)
office,1,2021-06-25T00:00:00.000,0,1,202106253253,deferred mep submittal for 2019-1112-6964,0,Sutter,3,St,006,2021-06-25T00:00:00.000,2,0285,26,26,Financial District/South Beach,otc alterations permit,8,2021-06-25T00:00:00.000,94108,1619646299043,constr type 1,1,450,office,0,"{coordinates:[-122.40783987245484,37.78967586945966],type:Point}",filed,constr type 1
apartments,5,2021-06-25T00:00:00.000,61,5,202106253234,stucco demo and replacement at french door. remove and replace concrete patio slab. @ unit 203 patio.remove & reset door after new waterproofing. install new drains. install proper slop & cim.pour new concrete slab unit 203 replace 3 coat stucco system around door.,18466.6,La Playa,1,,078,2021-06-25T00:00:00.000,0,1692,4,4,Outer Richmond,otc alterations permit,8,2021-06-25T00:00:00.000,94121,1619626479744,wood frame (5),18466.6,855,apartments,61,"{coordinates:[-122.51037511165129,37.772199012566716],type:Point}",issued,wood frame (5)
1 family dwelling,5,2021-06-25T00:00:00.000,1,5,202106253240,underground combo (fire+domestic) water service from new 2" water meter to riser (fsi),0,Chestnut,2,St,020,2021-06-25T00:00:00.000,2,0048,3,3,Russian Hill,otc alterations permit,8,2021-06-25T00:00:00.000,94109,161963156681,wood frame (5),8000,944,1 family dwelling,1,"{coordinates:[-122.41891947493694,37.80335613868401],type:Point}",filed,wood frame (5)
1 family dwelling,5,2021-06-25T00:00:00.000,1,5,202106253205,replace kitchen cabinets in kind. no structural work,16000,29th,4,Av,001E,2021-06-25T00:00:00.000,0,1784,2,2,Sunset/Parkside,otc alterations permit,8,2021-06-25T00:00:00.000,94122,1619593114040,wood frame (5),16000,1325,1 family dwelling,1,"{coordinates:[-122.48812992717203,37.762547099924674],type:Point}",issued,wood frame (5)
1 family dwelling,5,2021-06-25T00:00:00.000,1,5,202106253243,"construct 2 bedroom, 2 full bath, media room at ground floor. convert (e) bathroom into 1 & half bathroom at 2nd floor.",82000,22nd,4,Av,052,2021-06-25T00:00:00.000,2,2113,2,2,Sunset/Parkside,otc alterations permit,8,2021-06-25T00:00:00.000,94116,1619636126285,wood frame (5),82000,1900,1 family dwelling,1,"{coordinates:[-122.47930367308919,37.752101408877664],type:Point}",filed,wood frame (5)
office,5,2021-06-25T00:00:00.000,0,5,202106253247,"a modification to e wireless telecommunications facility to include 3 n antenna mounts, 1 per sector, 6 new antennas, 3 e antennas to remain, 9 total. 3 n radios, 3 e to remain 6 total. remove replace 2 cabinets, install 3 n hybrid cables. power upgrade t0 100 amp",0,Bush,3,St,027,2021-06-25T00:00:00.000,2,0271,10,10,Financial District/South Beach,otc alterations permit,8,2021-06-25T00:00:00.000,94108,161964066237,wood frame (5),25000,530,office,0,"{coordinates:[-122.4061367969499,37.790776157004146],type:Point}",filed,wood frame (5)
manufacturing,5,2021-06-25T00:00:00.000,,5,202106253269,change out faulty central inverter with 3-string inverters and a 112.4kva transformer in its place. ref e/p e20201026066,0,Dorman,10,Av,003,2021-06-25T00:00:00.000,2,5585,1,1,Bayview Hunters Point,otc alterations permit,8,2021-06-25T00:00:00.000,94124,1619663493599,wood frame (5),10000,4,manufacturing,,"{coordinates:[-122.40344877293992,37.73978917032859],type:Point}",filed,wood frame (5)
,5,2021-06-25T00:00:00.000,,,202106253223,non illuminated blade sign: image orthodontics,3900,Sacramento,2,St,049,2021-06-25T00:00:00.000,2,1008,4,,Presidio Heights,sign - erect,4,2021-06-25T00:00:00.000,94118,161961486966,,3900,3378,office,0,"{coordinates:[-122.44841228127935,37.78813542933284],type:Point}",issued,wood frame (5)
apartments,5,2021-06-25T00:00:00.000,4,5,202106253186,"reroofing. tear off old roof, gaf felt buster underlayment & gaf ns lifetime comp shingles.",42500,Grove,,St,013,2021-06-25T00:00:00.000,0,1181,4,4,,otc alterations permit,8,2021-06-25T00:00:00.000,94117,1619574239925,wood frame (5),42500,1260,apartments,4,,issued,wood frame (5)
retail sales,5,2021-06-25T00:00:00.000,,5,202106253286,front entrance program - addition of automatic door actuatore & opener. accessible business entrance programe per ordinance 51-16.,0,Chestnut,2,St,016,2021-06-25T00:00:00.000,2,0486A,2,2,Marina,otc alterations permit,8,2021-06-25T00:00:00.000,94123,1619682449744,wood frame (5),5000,2108,retail sales,,"{coordinates:[-122.43825805694944,37.80080187151646],type:Point}",filed,wood frame (5)
1 family dwelling,5,2021-06-25T00:00:00.000,1,5,202106253283,replace wooden stairs in rear,20000,40th,1,Av,001C,2021-06-25T00:00:00.000,2,1683,2,2,Outer Richmond,otc alterations permit,8,2021-06-25T00:00:00.000,94121,1619679110054,wood frame (5),20000,815,1 family dwelling,1,"{coordinates:[-122.50067262540895,37.77334274838643],type:Point}",filed,wood frame (5)
office,5,2021-06-25T00:00:00.000,0,5,202106253276,"new forced air unit, new condenser unit, new exhaust fan, and new duct work",4000,Francisco,3,St,022,2021-06-25T00:00:00.000,2,0051,1,1,North Beach,otc alterations permit,8,2021-06-25T00:00:00.000,94133,161967056748,wood frame (5),4000,545,office,0,"{coordinates:[-122.41411555773382,37.80442590522513],type:Point}",issued,wood frame (5)
1 family dwelling,5,2021-06-25T00:00:00.000,1,5,202106253230,"one bathroom remodel - replace all bathroom finishes, plumbing fixtures to remain in same locations.",35000,25th,8,St,014,2021-06-25T00:00:00.000,0,6538,2,2,Noe Valley,otc alterations permit,8,2021-06-25T00:00:00.000,94114,1619623206756,wood frame (5),35000,4152,1 family dwelling,1,"{coordinates:[-122.43294058258684,37.7500005290328],type:Point}",issued,wood frame (5)
office,5,2021-06-25T00:00:00.000,,5,202106253211,"reroofing.  to comply with cool roof requirements per 2019 california energy code 141.0(b)2b.  remove (e) roofing on flat roof, install 2 ply app utia-wite comp sheet roof.",68300,Jackson,3,St,007,2021-06-25T00:00:00.000,0,0175,2,2,Chinatown,otc alterations permit,8,2021-06-25T00:00:00.000,94111,1619600384198,wood frame (5),68300,434,office,,"{coordinates:[-122.40255589758331,37.79668716130905],type:Point}",issued,wood frame (5)
